img,throttle,steering
./img/img0000.jpeg,1291,1283
./img/img0001.jpeg,1283,1276
./img/img0002.jpeg,1289,1271
./img/img0003.jpeg,1289,1271
./img/img0004.jpeg,1289,1271
./img/img0005.jpeg,1289,1270
./img/img0006.jpeg,1289,1270
./img/img0007.jpeg,1289,1271
./img/img0008.jpeg,1284,1276
./img/img0009.jpeg,1284,1275
./img/img0010.jpeg,1284,1276
./img/img0011.jpeg,1285,1276
./img/img0012.jpeg,1289,1276
./img/img0013.jpeg,1289,1271
./img/img0014.jpeg,1291,1271
./img/img0015.jpeg,1289,1270
./img/img0016.jpeg,1289,1271
./img/img0017.jpeg,1289,1271
./img/img0018.jpeg,1289,1271
./img/img0019.jpeg,1284,1276
./img/img0020.jpeg,1284,1276
./img/img0021.jpeg,1284,1276
./img/img0022.jpeg,1283,1276
./img/img0023.jpeg,1291,1276
./img/img0024.jpeg,1289,1276
./img/img0025.jpeg,1289,1271
./img/img0026.jpeg,1289,1276
./img/img0027.jpeg,1289,1271
./img/img0028.jpeg,1289,1271
./img/img0029.jpeg,1291,1271
./img/img0030.jpeg,1289,1271
./img/img0031.jpeg,1284,1276
./img/img0032.jpeg,1284,1276
./img/img0033.jpeg,1284,1278
./img/img0034.jpeg,1284,1276
./img/img0035.jpeg,1285,1276
./img/img0036.jpeg,1289,1276
./img/img0037.jpeg,1284,1276
./img/img0038.jpeg,1289,1278
./img/img0039.jpeg,1289,1278
./img/img0040.jpeg,1291,1271
./img/img0041.jpeg,1289,1271
./img/img0042.jpeg,1291,1271
./img/img0043.jpeg,1291,1271
./img/img0044.jpeg,1289,1271
./img/img0045.jpeg,1163,1278
./img/img0046.jpeg,1064,1278
./img/img0047.jpeg,1070,1276
./img/img0048.jpeg,1201,1276
./img/img0049.jpeg,1284,1276
./img/img0050.jpeg,1284,1276
./img/img0051.jpeg,1276,1278
./img/img0052.jpeg,1114,1276
./img/img0053.jpeg,1070,1271
./img/img0054.jpeg,1069,1271
./img/img0055.jpeg,1069,1271
./img/img0056.jpeg,1233,1278
./img/img0057.jpeg,1291,1272
./img/img0058.jpeg,1289,1278
./img/img0059.jpeg,1326,1276
./img/img0060.jpeg,1467,1276
./img/img0061.jpeg,1494,1276
./img/img0062.jpeg,1493,1276
./img/img0063.jpeg,1331,1271
./img/img0064.jpeg,1289,1271
./img/img0065.jpeg,1388,1272
./img/img0066.jpeg,1493,1272
./img/img0067.jpeg,1488,1271
./img/img0068.jpeg,1195,1271
./img/img0069.jpeg,1107,1276
./img/img0070.jpeg,1069,1278
./img/img0071.jpeg,1102,1278
./img/img0072.jpeg,1347,1272
./img/img0073.jpeg,1430,1271
./img/img0074.jpeg,1488,1271
./img/img0075.jpeg,1488,1272
./img/img0076.jpeg,1322,1278
./img/img0077.jpeg,1175,1278
./img/img0078.jpeg,1081,1276
./img/img0079.jpeg,1069,1278
./img/img0080.jpeg,1121,1278
./img/img0081.jpeg,1347,1282
./img/img0082.jpeg,1488,1271
./img/img0083.jpeg,1489,1276
